"file","bytes","mtime","md5"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/manuscript_table_top10.csv",1170,"2026-09-05 13:04:04","3f0993e8f283b5a3a4ffd03f6b45ad97"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/monte_carlo_data.csv",26636,"2026-09-05 13:04:02","f9bed055f372e198428c9e0cc2806697"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/monte_carlo_tornado.png",124570,"2026-09-05 13:04:02","de70dc69c0aceb4c151d306b6fed76de"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/nsga2_output.rds",3122377,"2026-09-05 13:03:54","29edc41f9eb8b32f160041329c948a66"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_correlation.png",316337,"2026-09-05 13:03:59","777353dd7d4af2ac0ca1aa54b7c81107"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_evolution_AUC.png",143141,"2026-09-05 13:03:58","44e9ed8aee4e1124709b5772358dbceb"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_evolution_F.png",149131,"2026-09-05 13:03:58","ea1564be80d043c3c860d344ef65eb19"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_facet_dose.png",547953,"2026-09-05 13:03:58","c522ac6c228d923c22f1670d766cf2b2"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_front_2d.png",330593,"2026-09-05 13:03:58","e91f44ab46ea088441e1661b744f7fb6"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_front_data.csv",53561,"2026-09-05 13:03:59","97c14e1560121df7b11c56651b663349"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_front.png",197652,"2026-09-05 13:04:03","f44e49a452c06cde3fef997336064fad"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_heatmap_top10.png",373985,"2026-09-05 13:03:58","c2c35a206da4d79efb8e7391d9d2c74a"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/pareto_params_distribution.png",506660,"2026-09-05 13:03:58","d2a2bdaac0eb1c552edaef1e701c159b"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/radar_chart.png",211430,"2026-09-05 13:04:04","35d6d7727ff27d54afef735223799344"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/regulatory_cost.png",179154,"2026-09-05 13:04:09","fc064f0ea86525dd10e66d578a23c1fc"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/regulatory_framework.csv",1855,"2026-09-05 13:04:09","392ead7a952d984620d31323c5c05c8d"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/regulatory_timeline.png",159024,"2026-09-05 13:04:09","a580f4a4ab092039e27174a18ff5d5fd"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/risk_analysis.csv",2720,"2026-09-05 13:04:09","74342717d68294c30c9d9e4f4d42c539"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/sensitivity_data.csv",4115,"2026-09-05 13:04:02","475ca367944d4aad17c9d7c6edb2097a"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/sensitivity_spider.png",357784,"2026-09-05 13:04:02","6def26f38ee3f977119152bfaeb2fb3d"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/sensitivity_tornado.png",279256,"2026-09-05 13:04:01","53f33016dd9000b6bf3545e40f83f75c"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/similarity_matrix.csv",2081,"2026-09-05 13:04:06","a46f903f17c86eb3035ce9ea0ed7b0f9"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/similarity_matrix.png",317272,"2026-09-05 13:04:06","7c31df65eed2145102a29f36ac871d2e"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/top10_advanced.csv",4020,"2026-09-05 13:03:54","1c3d7596e3ba0f74d87ff23849bc3d6a"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/top10_formulations.csv",3216,"2026-09-05 12:58:15","6787f2456dd90e5df7ab35af8a4199e0"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/top3_comparison.png",134926,"2026-09-05 13:04:06","672c94322ac914e09d8d1fd6ceb6e633"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/validation_cv_boxplot.png",198252,"2026-09-05 13:04:02","dc2ac341c02c8beba62dd6f2e500ad73"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/validation_cv_data.csv",2994,"2026-09-05 13:04:02","41edc35cea32c94df369fcccfece25ab"
"/Users/kalo/TOBRAMYCIN PROJECT/002 - build finale/02_ENGINE/results_run_20260905_125802/validation_cv_distribution.png",196757,"2026-09-05 13:04:02","3e26b99f90e169334c42428462dfe88e"
